,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jamestown,42.097,-79.2353,287.15,30,90,5.5,US,1615446240
84,upernavik,72.7868,-56.1549,259.75,83,100,1.41,GL,1615446346
85,shimoda,34.6667,138.95,288.15,51,20,3.6,JP,1615446346
86,kanniyakumari,8.0833,77.5667,303.64,61,0,7.73,IN,1615446347
87,caravelas,-17.7125,-39.2481,295.68,90,0,2.87,BR,1615446347
88,kirkenaer,60.4564,12.0582,272.15,93,75,6.17,NO,1615446347
89,hithadhoo,-0.6,73.0833,300.05,75,27,4.5,MV,1615446348
90,kaitangata,-46.2817,169.8464,287.04,72,37,1.34,NZ,1615446348
91,lata,40.1629,-8.3327,285.93,97,100,0.63,PT,1615446348
92,wajima,37.4,136.9,284.15,54,0,2.06,JP,1615446349
93,faanui,-16.4833,-151.75,301.16,75,0,5.36,PF,1615446349
94,aasiaat,68.7098,-52.8699,261.81,96,100,2.18,GL,1615446349
95,arraial do cabo,-22.9661,-42.0278,296.75,83,100,1.88,BR,1615446350
96,kaeo,-35.1,173.7833,291.62,84,0,1.8,NZ,1615446350
97,nhulunbuy,-12.2333,136.7667,299.15,89,100,3.6,AU,1615446350
98,ponta do sol,32.6667,-17.1,286.48,69,69,1.34,PT,1615446351
99,weinan,34.5036,109.5089,289.82,62,0,2.0,CN,1615446351
100,port lincoln,-34.7333,135.8667,294.22,63,97,3.51,AU,1615446351
101,coquimbo,-29.9533,-71.3436,288.15,100,0,1.03,CL,1615446352
102,nikolskoye,59.7035,30.7861,260.37,66,0,4.0,RU,1615446352
103,airai,-8.9266,125.4092,292.93,100,100,0.66,TL,1615446352
104,ancud,-41.8697,-73.8203,284.26,93,0,1.54,CL,1615446353
105,alpena,45.0617,-83.4327,288.15,77,90,6.17,US,1615446353
106,lebu,-37.6167,-73.65,285.54,88,1,2.42,CL,1615446353
107,banjar,-8.19,114.9675,303.15,74,20,4.63,ID,1615446354
108,bilibino,68.0546,166.4372,245.69,77,50,1.33,RU,1615446354
109,palora,-1.7,-77.9333,291.79,91,100,0.92,EC,1615446354
110,masvingo,-20.0637,30.8277,297.9,47,0,1.22,ZW,1615446355
111,goure,13.9835,10.2704,304.26,5,100,3.13,NE,1615446355
112,boiro,42.65,-8.9,287.59,83,100,4.02,ES,1615446355
113,chokurdakh,70.6333,147.9167,246.96,86,100,2.78,RU,1615446356
114,buala,-8.145,159.5921,301.02,75,100,2.1,SB,1615446356
115,derzhavinsk,51.1,66.3167,259.09,93,83,10.54,KZ,1615446356
116,rio gallegos,-51.6226,-69.2181,283.15,37,40,9.77,AR,1615446357
117,bandarbeyla,9.4942,50.8122,300.26,64,3,5.1,SO,1615446357
118,east london,-33.0153,27.9116,296.15,68,0,4.63,ZA,1615446357
119,caronport,50.4501,-105.8179,267.15,79,100,7.72,CA,1615446357
120,uige,-7.6087,15.0613,294.78,89,31,1.19,AO,1615446358
121,camargo,27.6667,-105.1667,292.18,26,100,3.76,MX,1615446358
122,cabo san lucas,22.8909,-109.9124,292.04,72,0,0.39,MX,1615446282
123,tuktoyaktuk,69.4541,-133.0374,259.15,85,90,5.66,CA,1615446359
124,sao filipe,14.8961,-24.4956,293.5,75,100,5.92,CV,1615446359
125,bairiki,1.3292,172.9752,300.15,78,75,5.66,KI,1615446359
126,mikkeli,61.6886,27.2723,258.15,90,0,4.72,FI,1615446360
127,dali,25.7,100.1833,293.74,26,2,4.35,CN,1615446360
128,morant bay,17.8815,-76.4093,297.59,83,75,3.6,JM,1615446360
129,amapa,1.0,-52.0,294.19,98,100,0.27,BR,1615446360
130,san jeronimo,-11.9472,-75.2829,281.5,77,100,0.74,PE,1615446361
131,sovetskaya gavan,48.9723,140.2878,273.93,88,38,2.34,RU,1615446361
132,santa isabel,-23.3156,-46.2214,293.15,94,75,2.57,BR,1615446362
133,xuddur,4.1213,43.8894,303.79,38,17,9.12,SO,1615446362
134,naze,28.3667,129.4833,294.15,60,75,6.17,JP,1615446362
135,loreto,22.2667,-101.9667,285.49,41,0,1.57,MX,1615446363
136,pangnirtung,66.1451,-65.7125,248.01,84,100,0.98,CA,1615446363
137,pevek,69.7008,170.3133,246.67,78,55,7.88,RU,1615446363
138,mount darwin,-16.7725,31.5838,296.34,79,31,1.72,ZW,1615446363
139,gat,31.61,34.7642,292.04,10,30,0.45,IL,1615446243
140,port hedland,-20.3167,118.5667,306.15,66,57,5.14,AU,1615446364
141,san cristobal,7.7669,-72.225,291.51,85,100,1.23,VE,1615446364
142,mount gambier,-37.8333,140.7667,296.15,49,21,7.72,AU,1615446365
143,suntar,62.1444,117.6319,264.96,92,100,3.91,RU,1615446365
144,kushiro,42.975,144.3747,274.15,64,20,6.69,JP,1615446365
145,zhezkazgan,47.8043,67.7144,266.15,79,90,9.0,KZ,1615446366
146,richards bay,-28.783,32.0377,299.71,60,0,3.48,ZA,1615446366
147,vardo,70.3705,31.1107,260.15,92,100,20.58,NO,1615446366
148,seredka,58.1584,28.1858,264.15,67,0,4.0,RU,1615446367
149,sao gabriel da cachoeira,-0.1303,-67.0892,293.76,99,42,0.43,BR,1615446367
150,dzhebariki-khaya,62.2167,135.8,261.21,92,100,2.73,RU,1615446367
151,ilulissat,69.2167,-51.1,265.15,73,90,2.06,GL,1615446367
152,sangar,63.9242,127.4739,258.12,93,100,3.31,RU,1615446368
153,promyshlennaya,54.9159,85.6385,268.15,63,20,8.0,RU,1615446368
154,ribeira grande,38.5167,-28.7,287.35,80,100,10.03,PT,1615446368
155,henties bay,-22.116,14.2845,292.62,79,0,1.45,NA,1615446369
156,qeshm,26.9581,56.2719,301.15,51,0,2.06,IR,1615446369
157,barcelona,41.3888,2.159,284.82,76,0,4.12,ES,1615445598
158,rong kwang,18.339,100.3174,307.15,46,68,2.06,TH,1615446369
159,bathsheba,13.2167,-59.5167,298.15,65,20,7.72,BB,1615446370
160,boueni,-12.9025,45.0761,303.15,74,0,1.54,YT,1615446370
161,waitati,-45.75,170.5667,287.04,74,22,5.81,NZ,1615446370
162,mercedes,-34.6515,-59.4307,291.48,95,100,4.32,AR,1615446371
163,vanimo,-2.6741,141.3028,301.73,72,2,4.12,PG,1615446371
164,san ramon de la nueva oran,-23.1322,-64.326,296.48,87,63,0.6,AR,1615446371
165,pechenga,69.5259,31.1703,259.15,72,0,6.69,RU,1615446372
166,chapais,49.7834,-74.8492,276.15,100,90,3.6,CA,1615446372
167,valreas,44.3837,4.9908,280.37,81,0,0.51,FR,1615446372
168,ekhabi,53.5102,142.9671,267.01,95,100,8.21,RU,1615446373
169,savinka,50.0785,47.0994,255.88,90,0,4.56,RU,1615446373
170,laela,-8.5667,32.05,293.5,83,100,1.77,TZ,1615446373
171,darya khan,31.7912,71.1039,300.96,26,54,5.19,PK,1615446374
172,tiradentes,-21.1103,-44.1781,290.45,92,100,0.65,BR,1615446374
173,bengkulu,-3.8004,102.2655,302.58,68,100,4.07,ID,1615446260
174,gravelbourg,49.8834,-106.5512,263.37,96,100,4.64,CA,1615446374
175,beringovskiy,63.05,179.3167,251.21,85,0,1.06,RU,1615446375
176,monster,52.0258,4.175,283.71,76,20,15.95,NL,1615446375
177,labuhan,-6.8844,112.2051,302.0,74,50,5.81,ID,1615446375
178,jodar,37.8406,-3.3526,278.15,66,0,0.89,ES,1615446376
179,olafsvik,64.8945,-23.7142,269.5,89,89,9.77,IS,1615446376
180,victoria,22.2855,114.1577,295.93,77,2,0.89,HK,1615446376
181,aklavik,68.2191,-135.0107,263.15,85,100,2.06,CA,1615446377
182,verkhnyaya inta,65.9811,60.3094,253.92,87,100,3.49,RU,1615446377
183,terrace,54.5163,-128.6035,271.15,74,90,1.03,CA,1615446377
184,pandan niog,6.2282,120.5631,298.95,87,100,5.24,PH,1615446378
185,huilong,31.8111,121.655,285.37,95,100,0.89,CN,1615446378
186,dikson,73.5069,80.5464,249.58,90,100,10.16,RU,1615446378
187,talnakh,69.4865,88.3972,242.85,84,96,3.17,RU,1615446378
188,rocha,-34.4833,-54.3333,287.83,91,0,1.35,UY,1615446227
189,mount isa,-20.7333,139.5,303.15,54,40,1.54,AU,1615446379
190,olivenza,38.6832,-7.103,281.15,100,0,1.54,ES,1615446379
191,san patricio,28.017,-97.5169,294.26,88,90,10.8,US,1615446380
192,gawler,-34.6,138.7333,300.37,40,89,4.47,AU,1615446380
193,lompoc,34.6391,-120.4579,278.15,93,1,2.06,US,1615446380
194,sayyan,15.1718,44.3244,291.37,23,0,3.09,YE,1615446380
195,high rock,26.6208,-78.2833,291.15,82,20,4.12,BS,1615446196
196,mahates,10.2329,-75.1899,299.15,83,75,4.63,CO,1615446381
197,santo tomas,14.1079,121.1414,305.37,43,20,7.72,PH,1615446192
198,porangatu,-13.4408,-49.1486,294.17,93,100,0.43,BR,1615446205
199,saskylakh,71.9167,114.0833,248.32,84,100,9.24,RU,1615446382
200,beyneu,45.3167,55.2,270.41,70,99,4.72,KZ,1615446382
201,tiksi,71.6872,128.8694,246.95,84,100,13.32,RU,1615446382
202,tessalit,20.1986,1.0114,290.43,28,0,2.82,ML,1615446382
203,esperance,-33.8667,121.9,303.15,39,40,3.6,AU,1615446383
204,adrar,20.5022,-10.0711,288.7,36,0,7.14,MR,1615446383
205,hambantota,6.1241,81.1185,304.15,66,20,3.6,LK,1615446383
206,anadyr,64.75,177.4833,245.37,69,0,2.0,RU,1615446384
207,vidim,56.4088,103.1106,274.58,89,100,5.38,RU,1615446384
208,jiangyan,32.5061,120.1428,284.82,99,100,2.8,CN,1615446384
209,cape town,-33.9258,18.4232,293.15,77,20,3.6,ZA,1615446082
210,polovinnoye,54.7914,65.9864,263.24,95,100,3.34,RU,1615446385
211,dunkwa,5.9656,-1.78,297.08,95,100,0.62,GH,1615446385
212,barrow,71.2906,-156.7887,250.15,64,1,6.69,US,1615446385
213,jaque,7.5175,-78.1703,297.73,85,97,1.42,PA,1615446195
214,beloha,-25.1667,45.05,304.47,49,0,3.3,MG,1615446386
215,norfolk,42.1668,-71.2495,275.93,86,1,3.15,US,1615446097
216,inhambane,-23.865,35.3833,300.66,73,3,4.27,MZ,1615446386
217,twin falls,42.3505,-114.6445,272.04,58,1,3.09,US,1615446387
218,abu samrah,35.3029,37.1841,289.48,53,12,7.12,SY,1615446387
219,bihoro,43.8228,144.1044,278.15,45,75,2.06,JP,1615446369
220,mecca,21.4267,39.8261,304.12,32,0,1.58,SA,1615446275
221,aquidauana,-20.4711,-55.7872,293.75,67,0,0.96,BR,1615446387
222,zeya,53.75,127.2667,269.71,92,100,1.24,RU,1615446388
